Instrument,DSPLY_NMLL,COUNTRY
EEDCOV=ECI,NCOV19 Deaths RTR,EST
EENCOV=ECI,NCOV19 New Cases RTR,EST
EERCOV=ECI,NCOV19 Recovered RTR,EST
EGACOV=ECI,NCOV19 Act Cases RTR,EGY
EGCCOV=ECI,NCOV19 Tot Cases RTR,EGY
EGCOVD=ECI,COVID19 Tot Cases WHO,EGY
EGDCOV=ECI,NCOV19 Deaths RTR,EGY
EGNCOV=ECI,NCOV19 New Cases RTR,EGY
EGRCOV=ECI,NCOV19 Recovered RTR,EGY
EHACOV=ECI,NCOV19 Act Cases RTR,
EHCCOV=ECI,NCOV19 Tot Cases RTR,
EHDCOV=ECI,NCOV19 Deaths RTR,
EHNCOV=ECI,NCOV19 New Cases RTR,
EHRCOV=ECI,NCOV19 Recovered RTR,
ERACOV=ECI,NCOV19 Act Cases RTR,ERI
ERCCOV=ECI,NCOV19 Tot Cases RTR,ERI
ERDCOV=ECI,NCOV19 Deaths RTR,ERI
ERNCOV=ECI,NCOV19 New Cases RTR,ERI
ERRCOV=ECI,NCOV19 Recovered RTR,ERI
ESACOV=ECI,NCOV19 Act Cases RTR,ESP
ESCCOV=ECI,NCOV19 Tot Cases RTR,ESP
ESCOVD=ECI,COVID19 Tot Cases WHO,ESP
ESDCOV=ECI,NCOV19 Deaths RTR,ESP
ESNCOV=ECI,NCOV19 New Cases RTR,ESP
ESRCOV=ECI,NCOV19 Recovered RTR,ESP
ETACOV=ECI,NCOV19 Act Cases RTR,ETH
ETCCOV=ECI,NCOV19 Tot Cases RTR,ETH
ETCOVD=ECI,COVID19 Tot Cases WHO,ETH
ETDCOV=ECI,NCOV19 Deaths RTR,ETH
ETNCOV=ECI,NCOV19 New Cases RTR,ETH
ETRCOV=ECI,NCOV19 Recovered RTR,ETH
FIACOV=ECI,NCOV19 Act Cases RTR,FIN
FICCOV=ECI,NCOV19 Tot Cases RTR,FIN
FICOVD=ECI,COVID19 Tot Cases WHO,FIN
FIDCOV=ECI,NCOV19 Deaths RTR,FIN
FINCOV=ECI,NCOV19 New Cases RTR,FIN
FIRCOV=ECI,NCOV19 Recovered RTR,FIN
FJACOV=ECI,NCOV19 Act Cases RTR,FJI
FJCCOV=ECI,NCOV19 Tot Cases RTR,FJI
FJCOVD=ECI,COVID19 Tot Cases WHO,FJI
FJDCOV=ECI,NCOV19 Deaths RTR,FJI
FJNCOV=ECI,NCOV19 New Cases RTR,FJI
FJRCOV=ECI,NCOV19 Recovered RTR,FJI
FKACOV=ECI,NCOV19 Act Cases RTR,FLK
FKCCOV=ECI,NCOV19 Tot Cases RTR,FLK
FKCOVD=ECI,COVID19 Tot Cases WHO,FLK
FKDCOV=ECI,NCOV19 Deaths RTR,FLK
FKNCOV=ECI,NCOV19 New Cases RTR,FLK
FKRCOV=ECI,NCOV19 Recovered RTR,FLK
FOACOV=ECI,NCOV19 Act Cases RTR,FRO
FOCCOV=ECI,NCOV19 Tot Cases RTR,FRO
FOCOVD=ECI,COVID19 Tot Cases WHO,FRO
FODCOV=ECI,NCOV19 Deaths RTR,FRO
FONCOV=ECI,NCOV19 New Cases RTR,FRO
FORCOV=ECI,NCOV19 Recovered RTR,FRO
FRACOB=ECI,NCOV19 Act Cases St Barth RTR,BLM
FRACOM=ECI,NCOV19 Act Cases St Martin RTR,MAF
FRACOV=ECI,NCOV19 Act Cases RTR,FRA
FRCCOB=ECI,NCOV19 Tot Cases St Barth RTR,BLM
FRCCOM=ECI,NCOV19 Tot Cases St Martin RTR,MAF
FRCCOV=ECI,NCOV19 Tot Cases RTR,FRA
FRCOVB=ECI,COVID19 Tot Cases St Barth WHO,BLM
FRCOVD=ECI,COVID19 Tot Cases WHO,FRA
FRCOVM=ECI,COVID19 Tot Cases St Martin WHO,MAF
FRDCOB=ECI,NCOV19 Deaths St Barth RTR,BLM
FRDCOM=ECI,NCOV19 Deaths St Martin RTR,MAF
FRDCOV=ECI,NCOV19 Deaths RTR,FRA
FRNCOB=ECI,NCOV19 New Cases St Barth RTR,BLM
FRNCOM=ECI,NCOV19 New Cases St Martin RTR,MAF
FRNCOV=ECI,NCOV19 New Cases RTR,FRA
FRRCOB=ECI,NCOV19 Recovered St Barth RTR,BLM
FRRCOM=ECI,NCOV19 Recovered St Martin RTR,MAF
FRRCOV=ECI,NCOV19 Recovered RTR,FRA
GAACOV=ECI,NCOV19 Act Cases RTR,GAB
GACCOV=ECI,NCOV19 Tot Cases RTR,GAB
GACOVD=ECI,COVID19 Tot Cases WHO,GAB
GADCOV=ECI,NCOV19 Deaths RTR,GAB
GANCOV=ECI,NCOV19 New Cases RTR,GAB
GARCOV=ECI,NCOV19 Recovered RTR,GAB
GBACOV=ECI,NCOV19 Act Cases RTR,GBR
GBCCOV=ECI,NCOV19 Tot Cases RTR,GBR
GBCOVD=ECI,COVID19 Tot Cases WHO,GBR
GBDCOV=ECI,NCOV19 Deaths RTR,GBR
GBNCOV=ECI,NCOV19 New Cases RTR,GBR
GBRCOV=ECI,NCOV19 Recovered RTR,GBR
GDACOV=ECI,NCOV19 Act Cases RTR,GRD
GDCCOV=ECI,NCOV19 Tot Cases RTR,GRD
GDCOVD=ECI,COVID19 Tot Cases WHO,GRD
GDDCOV=ECI,NCOV19 Deaths RTR,GRD
GDNCOV=ECI,NCOV19 New Cases RTR,GRD
GDRCOV=ECI,NCOV19 Recovered RTR,GRD
GEACOV=ECI,NCOV19 Act Cases RTR,GEO
GECCOV=ECI,NCOV19 Tot Cases RTR,GEO
GECOVD=ECI,COVID19 Tot Cases WHO,GEO
GEDCOV=ECI,NCOV19 Deaths RTR,GEO
GENCOV=ECI,NCOV19 New Cases RTR,GEO
GERCOV=ECI,NCOV19 Recovered RTR,GEO
GFACOV=ECI,NCOV19 Act Cases RTR,GUF
GFCCOV=ECI,NCOV19 Tot Cases RTR,GUF
